w1,l1_leg,l1_top,l1_center,l2,h1,l2_tap,ratio,Tx_turns,Tx_tap,Tx_height,Tx_preg,Rx_turns,Rx_tap,Rx_height,Rx_preg,g1,g2,Tx_space_x,Tx_space_y,Rx_space_x,Rx_space_y,core_N_w1,core_P_w1,Tx_layer_space_x,Tx_layer_space_y,Rx_layer_space_x,Rx_layer_space_y,Tx_width,Rx_width,fail_level,elapsed
32.0,2.2,3.4,12.8,14.0,38.8,0.0,0.51,14.0,12.0,0.175,0.05,2.0,15.0,0.14,0.1,0.1,0.41,0.6,1.0,4.0,3.5,22.0,22.0,2.8,2.9,0.8,2.3,0.27,1.3,10,506250000000
27.2,13.0,13.0,20.0,20.0,5.2,0.0,0.51,14.0,24.0,0.07,0.07,2.0,18.0,0.175,0.03,0.1,0.28,2.2,1.8,5.0,3.9,9.0,6.0,1.9,1.5,2.7,2.7,1.69,1.4,10,619671000000
47.6,8.2,3.4,17.6,14.0,50.8,0.0,0.5,14.0,16.0,0.105,0.09,2.0,25.0,0.14,0.07,0.1,0.27,1.0,1.0,4.1,3.9,10.0,25.0,2.6,4.5,3.9,4.6,0.13,1.0,10,322515000000
39.2,2.2,7.0,12.8,12.8,20.8,0.0,0.51,14.0,35.0,0.175,0.08,2.0,11.0,0.07,0.04,0.1,0.2,1.4,1.7,4.9,3.6,2.0,23.0,3.0,4.6,4.8,0.2,0.97,2.2,10,972860000000
52.4,8.2,13.0,24.8,16.4,11.2,0.0,0.5,14.0,32.0,0.07,0.02,2.0,12.0,0.175,0.08,0.1,0.28,1.8,1.8,4.0,2.1,18.0,27.0,1.6,3.2,0.3,3.2,1.06,1.5,10,956829000000
41.6,2.2,2.2,23.6,6.8,5.2,0.0,0.51,14.0,31.0,0.07,0.07,2.0,28.0,0.035,0.01,0.1,0.2,0.8,1.4,2.1,3.6,6.0,12.0,2.9,1.3,2.8,3.2,0.73,1.9,10,406454000000
23.6,5.8,7.0,18.8,6.8,7.6,0.0,0.51,14.0,10.0,0.105,0.06,2.0,31.0,0.175,0.08,0.1,0.48,0.6,1.1,1.8,1.9,3.0,12.0,2.9,4.9,0.8,4.7,0.34,1.1,10,220422000000
42.8,4.6,10.6,4.4,9.2,48.4,0.0,0.51,14.0,31.0,0.14,0.04,2.0,33.0,0.105,0.09,0.1,0.31,1.1,1.0,4.4,1.8,27.0,29.0,0.8,3.3,2.6,3.9,0.73,1.6,10,171235000000
10.4,3.4,11.8,16.4,26.0,31.6,0.0,0.5,14.0,27.0,0.175,0.07,2.0,17.0,0.14,0.01,0.1,0.28,3.4,2.2,4.2,4.9,12.0,20.0,3.9,4.9,3.9,4.2,0.5,3.8,10,653908939843
48.8,11.8,8.2,11.6,11.6,41.2,0.0,0.51,14.0,20.0,0.175,0.06,2.0,25.0,0.105,0.05,0.1,0.4,0.8,2.6,3.2,2.5,26.0,12.0,0.2,4.3,3.9,5.0,0.2,1.3,10,600375000000
16.4,10.6,2.2,14.0,22.4,44.8,0.0,0.51,14.0,21.0,0.035,0.01,2.0,8.0,0.07,0.05,0.1,0.36,1.4,1.0,4.6,4.4,20.0,14.0,0.8,2.7,0.8,2.9,0.68,2.5,10,192969000000
32.0,11.8,13.0,3.2,5.6,7.6,0.0,0.5,14.0,31.0,0.105,0.05,2.0,6.0,0.175,0.07,0.1,0.23,0.5,1.0,2.1,2.7,2.0,5.0,0.3,4.5,1.3,0.8,0.11,1.3,10,351172000000
14.0,11.8,10.6,26.0,20.0,30.4,0.0,0.51,14.0,33.0,0.175,0.02,2.0,15.0,0.175,0.02,0.1,0.48,1.5,1.9,4.2,4.9,13.0,13.0,3.0,0.8,0.6,0.1,1.47,3.7,10,325829000000
12.8,9.4,5.8,17.6,15.2,31.6,0.0,0.51,14.0,28.0,0.035,0.02,2.0,18.0,0.105,0.01,0.1,0.38,0.7,2.5,4.7,4.6,7.0,18.0,0.6,4.8,2.7,4.7,0.48,1.0,10,853922000000
16.4,5.8,8.2,16.4,23.6,32.8,0.0,0.51,14.0,29.0,0.105,0.1,2.0,13.0,0.14,0.05,0.1,0.44,2.2,3.9,4.3,3.5,5.0,14.0,1.5,3.9,1.9,0.3,0.65,2.8,10,153343000000
45.2,9.4,9.4,14.0,20.0,52.0,0.0,0.5,14.0,26.0,0.105,0.01,2.0,20.0,0.14,0.01,0.1,0.4,1.8,3.3,4.9,3.1,28.0,28.0,2.6,0.3,4.6,1.6,1.1,2.1,10,2313313000000
48.8,10.6,8.2,17.6,5.6,53.2,0.0,0.5,14.0,31.0,0.14,0.04,2.0,32.0,0.105,0.07,0.1,0.26,0.6,1.2,1.9,4.5,3.0,13.0,3.5,2.5,3.1,2.2,0.37,1.1,10,489032000000
50.0,13.0,13.0,24.8,26.0,34.0,0.0,0.5,14.0,24.0,0.105,0.01,2.0,25.0,0.105,0.05,0.1,0.13,1.1,1.2,4.9,5.0,25.0,11.0,2.7,2.7,4.3,2.2,0.65,4.7,10,931578000000
35.6,7.0,1.0,15.2,4.4,41.2,0.0,0.5,14.0,24.0,0.07,0.07,2.0,27.0,0.175,0.05,0.1,0.38,0.4,2.9,2.3,3.5,22.0,4.0,4.5,1.1,1.1,2.5,0.23,1.4,10,818365898816
9.2,8.2,13.0,24.8,8.0,13.6,0.0,0.5,14.0,33.0,0.105,0.1,2.0,22.0,0.14,0.07,0.1,0.37,0.8,1.2,3.2,1.9,7.0,2.0,3.3,4.6,1.2,3.4,0.37,1.3,10,379531000000
26.0,5.8,5.8,21.2,4.4,6.4,0.0,0.5,14.0,25.0,0.035,0.01,2.0,24.0,0.175,0.08,0.1,0.37,0.2,2.8,2.8,3.6,2.0,22.0,3.1,3.2,1.3,2.5,0.12,1.4,10,148625000000
17.6,11.8,10.6,18.8,9.2,7.6,0.0,0.51,14.0,25.0,0.175,0.06,2.0,16.0,0.105,0.02,0.1,0.26,0.7,1.5,2.8,1.8,15.0,1.0,1.8,0.1,3.0,3.0,0.33,1.0,10,349531000000
11.6,11.8,3.4,26.0,14.0,37.6,0.0,0.51,14.0,28.0,0.175,0.08,2.0,35.0,0.105,0.02,0.1,0.18,1.8,3.2,3.6,1.7,6.0,14.0,2.6,1.3,3.7,3.5,0.12,1.1,10,661562000000
40.4,2.2,3.4,23.6,6.8,11.2,0.0,0.51,14.0,34.0,0.14,0.03,2.0,12.0,0.105,0.09,0.1,0.32,0.7,0.7,3.5,3.8,14.0,10.0,2.8,0.4,2.7,5.0,0.49,2.4,10,892047000000
42.8,11.8,9.4,20.0,12.8,49.6,0.0,0.5,14.0,35.0,0.035,0.01,2.0,22.0,0.14,0.09,0.1,0.28,1.4,1.3,4.7,4.7,14.0,30.0,1.8,0.7,4.4,1.4,0.41,3.2,10,330109000000
23.6,5.8,5.8,12.8,8.0,26.8,0.0,0.51,14.0,24.0,0.14,0.03,2.0,35.0,0.14,0.03,0.1,0.16,0.9,1.5,4.8,3.2,8.0,28.0,4.2,3.7,2.9,4.3,0.7,1.7,10,288469000000
36.8,9.4,8.2,6.8,18.8,10.0,0.0,0.51,14.0,33.0,0.175,0.01,2.0,19.0,0.175,0.09,0.1,0.2,2.4,0.8,4.0,4.1,17.0,14.0,2.2,2.1,4.7,2.1,0.13,2.3,10,753015000000
27.2,7.0,4.6,26.0,9.2,52.0,0.0,0.5,14.0,31.0,0.105,0.06,2.0,6.0,0.105,0.09,0.1,0.33,0.5,0.8,2.6,2.4,19.0,6.0,5.0,3.8,3.2,1.5,0.4,1.3,10,349016000000
17.6,3.4,11.8,24.8,11.6,7.6,0.0,0.51,14.0,31.0,0.175,0.09,2.0,29.0,0.07,0.04,0.1,0.22,1.4,0.8,3.5,3.7,5.0,15.0,1.3,4.0,0.3,1.7,0.31,2.7,10,406468000000
17.6,9.4,8.2,9.2,8.0,26.8,0.0,0.5,14.0,21.0,0.07,0.06,2.0,32.0,0.035,0.01,0.1,0.37,0.9,0.9,4.2,4.3,8.0,4.0,0.4,3.4,1.3,3.4,0.86,2.1,10,351078000000
38.0,4.6,9.4,10.4,21.2,37.6,0.0,0.5,14.0,35.0,0.035,0.02,2.0,22.0,0.07,0.02,0.1,0.44,1.7,4.4,4.6,3.6,3.0,20.0,2.1,4.7,5.0,0.4,0.69,2.8,10,2193782000000
32.0,3.4,10.6,5.6,26.0,22.0,0.0,0.5,14.0,32.0,0.07,0.02,2.0,14.0,0.105,0.08,0.1,0.41,2.1,3.7,4.4,4.9,23.0,13.0,3.2,2.8,3.4,2.5,1.59,4.3,10,1301500000000
12.8,10.6,10.6,23.6,10.4,30.4,0.0,0.51,14.0,13.0,0.175,0.1,2.0,34.0,0.035,0.02,0.1,0.49,1.3,1.1,3.2,4.1,30.0,30.0,2.1,2.4,1.1,1.3,0.94,1.4,10,262062000000
52.4,3.4,11.8,26.0,26.0,10.0,0.0,0.5,14.0,28.0,0.14,0.07,2.0,19.0,0.175,0.08,0.1,0.38,3.2,3.3,4.8,3.9,4.0,9.0,3.3,4.6,1.4,4.9,2.13,3.5,10,3772015000000
